"ET.estat";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"k: lake";"LACI-2: Forsuringindeks for småkreps i kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"p";"mdc"
"k: lake";"Bestandsendring fisk";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"n";"mdc"
"k: lake";"EIndexW3: Eutrofieringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"AIndexW5: Forsuringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"WS-FBI: Pelagisk fiskeindeks for innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"Cpue_aure: Bestandsstørrelse av brunørret relatert til innsjøers oppvekstratio (OR)";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"Total biomasse planteplankton per volumenhet";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"Cyanomax: Maksimalt volum av cyanobakterier i innsjøer";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B3";"fs?";"n";"mdc"
"k: lake";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"k: lake";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"X";"";"p";"?"
"i: coas.t";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"i: coas.t";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"i: coas.t";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"i: coas.t";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"i: coas.t";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"i: coas.t";"Wetland bird communities";"NINA (Chloé?), BirdLife Norge, MDir";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"i: coas.t";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"i: coas.t";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"i: coas.t";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"i: coas.t";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"i: coas.t";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"i: coas.t";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"i: coas.t";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"i: coas.t";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"i: coas.t";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"i: coas.t";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"i: coas.t";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"i: coas.t";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"i: coas.t";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer"
"i: coas.t";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"i: coas.t";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"i: coas.t";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"i: coas.t";"";"Copernicus*";"2006";"3";"~10 m";"A1";"af, lm";"n";"pol?"
"i: coas.t";"";"Copernicus*";"2018";"3";"~10 m";"B2";"fs, lm";"p";"pol?"
"i: coas.t";"";"Copernicus*";"2012";"3";"~10 m";"B2";"fs";"p";"pol?"
"i: coas.t";"";"Copernicus*";"2018";"1";"kommune";"A2";"af";"n";"pol?"
"l: coas.w";"Wetland bird communities";"NINA (Chloé?), BirdLife Norge, MDir";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"l: coas.w";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"l: coas.w";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"l: coas.w";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"l: coas.w";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"l: coas.w";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"l: coas.w";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"l: coas.w";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"l: coas.w";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"l: coas.w";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"l: coas.w";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"l: coas.w";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"l: coas.w";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"fs?";"p";"mdc"
"l: coas.w";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"l: coas.w";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"B2";"??";"p";"mdc"
"l: coas.w";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"l: coas.w";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"X";"";"p";"?"
"m: marine";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"m: marine";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"m: marine";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"m: marine";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"m: marine";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"fs?";"p";"mdc"
"m: marine";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"m: marine";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"B2";"??";"p";"mdc"
"m: marine";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"m: marine";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"X";"";"p";"?"
