"ET.estat";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"e: forest";"Volum av levende og såtende døde trær";"NIBIO";"2010";"1";"fylke/region";"B2";"pr";"u";"mod"
"e: forest";"Volumandel døde trær";"NIBIO";"2010";"1";"fylke/region";"B2";"pr";"p";"mod"
"e: forest";"Lauvtreinnblanding i barskog";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"Eldre lauvsuksesjon (MiS)";"NIBIO";"2010";"1";"fylke/region";"B3";"fs";"p";"mod"
"e: forest";"Volum av edellauvtrær";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"Tetthet av store trær";"NIBIO";"1990";"1";"fylke/region";"B3";"fs";"p";"mod"
"e: forest";"Tresjikt";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"Kronedekke";"NIBIO";"1990";"1";"fylke/region";"B2";"fs";"u";"mod"
"e: forest";"Kronetetthet for blåbær";"NIBIO";"1990";"1";"fylke/region";"B1a";"fs";"p";"mod"
"e: forest";"Fremmede treslag";"NIBIO";"2000";"1";"fylke/region";"B1a";"fs";"n";"zer"
"e: forest";"Arealandel årlig brent skog";"DSB";;"1";"kommune";"B3";"fs";"u";"mod"
"e: forest";"Organisk jordkarbon";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"p";"mod"
"e: forest";"C/N-forholdet i jord";"NIBIO";"2024";"1";"fylke/region";"A2";"af";"u";"mod"
"e: forest";"Konnektivitet av skog";"NIBIO";"2000";"1";"kommune";"C1";"lm";"p";"mod"
"e: forest";"Konnektivitet av gammel skog";"NIBIO";"2020";"5";"kommune";"C1";"lm";"p";"mod"
"e: forest";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"e: forest";"Barskogsfugler";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"bm";"p";"exp"
"e: forest";"Lauvskogsfugler";"Mdir/NINA";"2010";"1";"fylke/region";"B1a";"bm";"p";"exp"
"f: shrub";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"f: shrub";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"f: shrub";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"f: shrub";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"f: shrub";"Lirype";"NINA";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"Farmland bird communities";"NINA (Chloe Nater), BirdLife Norge, Mdir, NIBIO";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"f: shrub";"Butterfly abundance and diversity";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"Species richness of flying insects";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"f: shrub";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"f: shrub";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"f: shrub";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"f: shrub";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"f: shrub";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"f: shrub";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"Total insektsbiomasse";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"f: shrub";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
