"ET.estat";"i.name.no";"Datakilde";"Dev.status";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"e: forest";"Biologisk gammel skog";"NIBIO";"3";"2000";"5";"fylke/region";"B3";"fs, lm";"p";"mod"
"e: forest";"Død ved totalt";"NIBIO";"3";"2010";"5";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"Grov død ved";"NIBIO";"3";"2010";"5";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"Normalisert årlig maksimal NDVI";"NASA*";"3";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"e: forest";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"e: forest";"Biomasse klovdyr";"NTNU (James Speed)";"p2";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"e: forest";"Biomasse rovdyr";"NTNU (James Speed)";"p2";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"e: forest";"Areal uten tekniske inngrep";"MDir*";"3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"f: shrub";"Fravær av fremmede plantearter";"MDir";"2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"f: shrub";"Kongeørn";"MDir & NINA";"2";"2010";"5";"fylke/region";"B1a";"fb, fg";"p";"??"
"f: shrub";"Jerv";"MDir & NINA";"2";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"f: shrub";"Fjellrev";"MDir & NINA";"2";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"f: shrub";"Lirype";"NINA";"2";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"Fjellrype";"MDir";"1";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"f: shrub";"Butterfly abundance and diversity";"NINA (Jens Åström)";"2";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"Species richness of flying insects";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"f: shrub";"Naturindeks (modifisert)";"MDir & NINA";"1";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"f: shrub";"Ellenberg F";"MDir";"2";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"f: shrub";"Ellenberg L";"MDir";"2";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"f: shrub";"Ellenberg R";"NINA (Joachim Töpper)";"2";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"Vegetasjonens varmekrav";"MDir";"2";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
"f: shrub";"Ellenberg N";"MDir";"2";"2019";"5";"fylke/region";"A2";"pr, af";"u";"mod"
"f: shrub";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"f: shrub";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"p2";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2";"2019";"5";"fylke/region";"B3";"fg, bm";"u";"mod"
"f: shrub";"Total insektsbiomasse";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"f: shrub";"Smågnagere";"MDir";"2";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"f: shrub";"Rein";"MDir & NINA";"2";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"f: shrub";"Store hjortedyr";"MDir & NINA";"p1";"1990";"5";"fylke/region";"B1a";"fb";"u";"mod"
"f: shrub";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"f: shrub";"Antall arter av pollinerende insekter";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"f: shrub";"Antall arter møkkbiller";"NINA (Jens Åström)";"p2";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"f: shrub";"Gjengroing";"NINA (Zander Venter)";"2";"2010";;"~10 m";"B2";"fs";"n";"mdc"
"f: shrub";"Normalisert årlig maksimal NDVI";"NASA*";"2";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"f: shrub";"NDVI flerårig trend";"NASA*";"1";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"f: shrub";"Slitasje";"NINA (Anders Kolstad)";"2";"2019";"5";"fylke/region";"B3";"pr";"p";"zer"
"f: shrub";"Biomasse klovdyr";"NTNU (James Speed)";"2";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"Biomasse rovdyr";"NTNU (James Speed)";"2";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"f: shrub";"Konnektivitet";"Statens kartverk*";"1";"2021";;"ingen (nasj)";"C1";"lm";"u";"mod"
"f: shrub";"Areal uten tekniske inngrep";"MDir*";"3";"1988";"5";"fylke/region";"C1";"lm";"p";"zer"
"g: SVL";"Areal av isbreer";"NVE (Liss Marie Andreassen)";"p3";"1966";;"ingen (nasj)";"A1";"af";"p";"sta"
"g: SVL";"Fravær av fremmede plantearter";"MDir";"p2";"2019";"5";"fylke/region";"B1a";"fs";"p";"zer"
"g: SVL";"Kongeørn";"MDir & NINA";"p2";"2010";"5";"fylke/region";"B1a";"fb, fg";"p";"??"
"g: SVL";"Jerv";"MDir & NINA";"p2";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"g: SVL";"Fjellrev";"MDir & NINA";"p1";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"g: SVL";"Fjellrype";"MDir";"p2";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"g: SVL";"Butterfly abundance and diversity";"NINA (Jens Åström)";"p1";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"g: SVL";"Naturindeks (modifisert)";"MDir & NINA";"p1";"1990";"5";"fylke/region";"B1b";"bm";"p";"na"
"g: SVL";"Ellenberg F";"MDir";"p1";"2019";"5";"fylke/region";"A1";"af";"u";"mod"
"g: SVL";"Ellenberg L";"MDir";"p1";"2019";"5";"fylke/region";"B3";"af";"u";"mod"
"g: SVL";"Ellenberg R";"NINA (Joachim Töpper)";"p1";"2019";"5";"fylke/region";"A2";"fg, bm";"u";"mod"
"g: SVL";"Vegetasjonens varmekrav";"MDir";"p2";"2019";"5";"fylke/region";"A1";"af";"n";"mod"
"g: SVL";"Ellenberg N";"MDir";"p1";"2019";"5";"fylke/region";"A2";"pr, af";"u";"mod"
