"ET.estat";"i.name.no";"Datakilde";"Dev.status";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"l: coas.w";"Siktedyp";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A1";"af";"p";"mdc"
"l: coas.w";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"l: coas.w";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";"p2";;"1";"annet";"A2";"af";"p";"exp"
"l: coas.w";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";"p2";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";"p2";;"1";"annet";"A2";"fs?";"p";"mdc"
"l: coas.w";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";"p2";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";"p2";;"1";"annet";"B2";"pr";"n";"mdc"
"l: coas.w";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";"p2";;"1";"annet";"B2";"??";"p";"mdc"
"l: coas.w";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";"p2";;"1";;"A2";"";"";""
"l: coas.w";"Økologisk tilstand (nEQR)";"Vann-nett";"p2";;"1";;"X";"";"";""
"m: marine";"Siktedyp";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A1";"af";"p";"mdc"
"m: marine";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"m: marine";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";"2";;"1";"annet";"A2";"af";"p";"exp"
"m: marine";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";"2";;"1";"annet";"A2";"fs?";"p";"mdc"
"m: marine";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";"2";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";"2";;"1";"annet";"B2";"pr";"n";"mdc"
"m: marine";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";"2";;"1";"annet";"B2";"??";"p";"mdc"
"m: marine";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";"2";;"1";;"A2";"";"";""
"m: marine";"Økologisk tilstand (nEQR)";"Vann-nett";"2";;"1";;"X";"";"";""
