"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"e: forest";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"e: forest";"fj.04";"Lirype";"NINA";"2015";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"e: forest";"vs.47";"Species richness of flying insects";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"bm";"p";"??"
"e: forest";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"e: forest";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"e: forest";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"e: forest";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"e: forest";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"e: forest";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"e: forest";"sk.05";"Blåbærdekning";"NIBIO";"2010";"1";"fylke/region";"B1a";"fs";"p";"mdc"
"e: forest";"sk.06";"Rogn-osp-selje";"NIBIO";"1994";"1";"fylke/region";"B1a";"fs";"p";"mdc"
"e: forest";"vs.48";"Total insektsbiomasse";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1a";"fs";"p";"??"
"e: forest";"sk.10";"Store hjortedyr";"MDir & NINA";"1990";"1";"kommune";"B1a";"fb";"u";"mod"
"e: forest";"sk.11";"Store rovdyr";"MDir & NINA";"1990";"1";"fylke/region";"B1a";"fb";"p";"mod"
"e: forest";"vs.45, vs.72";"Antall arter av pollinerende insekter";"NINA (Jens Åström), NIBIO (3Q)";"2020";"5";"fylke/region";"B3";"fs";"p";"??"
"e: forest";"vs.50";"Antall arter møkkbiller";"NINA (Jens Åström)";"2020";"5";"fylke/region";"B1b";"fs";"p";"??"
"e: forest";"sk.09";"Biologisk gammel skog";"NIBIO";"2000";"1";"fylke/region";"B3";"fs, lm";"p";"mod"
"e: forest";"sk.07";"Død ved totalt";"NIBIO";"2010";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"sk.08";"Grov død ved";"NIBIO";"2010";"1";"fylke/region";"B2";"fs";"p";"mod"
"e: forest";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
