"ET.estat";"i.id0";"i.name.no";"Datakilde";"Startar";"Frekvens (ar)";"Romlig opplosning";"ECT";"Egenskap";"Samsvar m/tilstand";"Ref.verdi"
"k: lake";"O2";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"k: lake";"PH";"pH - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"LAL";"Potensielt gift aluminium (LAl, UM-Al) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"k: lake";"ANC";"Vannets syrenøytraliserende kapasitet (ANC) - innsjøer og elver";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"mdc"
"k: lake";"TIc";"TIc: Vannplanteindeks for eutrofiering i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"SIc";"SIc: Vannplanteindeks for forsuring i innsjøer";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"WIc";"WIc: Vannplanteindeks for vannstandsvariasjoner i reguleringsmagasin";"NIVA (Marit Mjelde) + Vannmiljø";;"1";"annet";"A1";"bm";"p";"mdc"
"k: lake";"LAMI";"LAMI: Forsuringsindeks for litorale bunndyr i innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"Raddum-1";"Raddum forsuringsindeks-1 - litorale bunndyr i elver og innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"MultiClear";"MultiClear: Multimetrisk bunndyrindeks for forsuring av klare innsjøer";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"PTI";"PTI: Planteplankton Trofisk indeks";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"A2";"bm";"n";"mdc"
"k: lake";"LACI-1";"LACI-1: Forsuringindeks for småkreps i svært kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"LACI-2";"LACI-2: Forsuringindeks for småkreps i kalkfattige innsjøer";"NINA (Ann Kristin Schartau) + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"k: lake";"NEFI";"NEFI: Norsk endringsindeks for fisk - elver og innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"p";"mdc"
"k: lake";"FIBESTE";"Bestandsendring fisk";"NINA  + Vannmiljø";;"1";"annet";"B1b";"bm";"n";"mdc"
"k: lake";"EIndexW3";"EIndexW3: Eutrofieringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"AIndexW5";"AIndexW5: Forsuringsindeks for fisk i innsjøer";"NINA  + Vannmiljø";;"1";"annet";"A2";"bm";"p";"oth"
"k: lake";"WS-FBI";"WS-FBI: Pelagisk fiskeindeks for innsjøer";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"Cpue_BrownTrout";"Cpue_aure: Bestandsstørrelse av brunørret relatert til innsjøers oppvekstratio (OR)";"NINA  + Vannmiljø";;"1";"annet";"B1a";"bm";"p";"mdc"
"k: lake";"KLFA";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"PPBIOMTOVO";"Total biomasse planteplankton per volumenhet";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"k: lake";"Cyanomax";"Cyanomax: Maksimalt volum av cyanobakterier i innsjøer";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B3";"fs?";"n";"mdc"
"k: lake";"overall chemical status";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"k: lake";"overall ecol status";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"xx";"";"p";"?"
"i: coas.t";"sk.04, fj.09, vs.29";"Fravær av fremmede plantearter";"MDir";"2019";"1";"fylke/region";"B1a";"fs";"p";"zer"
"i: coas.t";"fj.08";"Kongeørn";"MDir & NINA";"2010";"5";"ingen (nasj)";"B1a";"fb, fg";"p";"??"
"i: coas.t";"fj.07";"Jerv";"MDir & NINA";"1990";"5";"fylke/region";"B1a";"fb, fg";"p";"mod"
"i: coas.t";"fj.06";"Fjellrev";"MDir & NINA";"2010";"1";"kommune";"B1a";"fb, fg";"p";"sta (+mod)"
"i: coas.t";"fj.05";"Fjellrype";"MDir";"2010";"1";"fylke/region";"B1a";"fb, fg";"p";"exp"
"i: coas.t";"vs.13";"Wetland bird communities";"NINA (Chloé?), BirdLife Norge, MDir";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"i: coas.t";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"i: coas.t";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"i: coas.t";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"i: coas.t";"vs.41";"Ellenberg R";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"i: coas.t";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"i: coas.t";"vs.41b";"Planteindikator på fosfor";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"A2";"fg, bm";"u";"mod"
"i: coas.t";"vs.41c";"Planteindikator på beite/slått";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"i: coas.t";"vs.41d";"Planteindikator på jordforstyrrelse";"NINA (Joachim Töpper)";"2019";"1";"fylke/region";"B3";"fg, bm";"u";"mod"
"i: coas.t";"fj.03";"Smågnagere";"MDir";"1990";"1";"fylke/region";"B1a";"fb, fg, fs";"p";"mod"
"i: coas.t";"fj.02";"Rein";"MDir & NINA";"2017";"1";"ingen (nasj)";"B1a";"fb, fg, fs";"u";"mod"
"i: coas.t";"vs.16, vs.37";"Bumblebee abundance and species richness";"NINA (Jens Åström)";"2009";"1";"fylke/region";"B1b";"bm";"p";"exp"
"i: coas.t";"sk.01";"Normalisert årlig maksimal NDVI";"NASA*";"2000";"1";"~100 m";"B2";"pr";"u";"mdc"
"i: coas.t";"fj.01";"NDVI flerårig trend";"NASA*";"2000";"1";"~100 m";"B2";"pr, fd";"u";"zer"
"i: coas.t";"vs.64";"Slitasje";"NINA (Anders Kolstad)";"2019";"5";"fylke/region";"B3";"pr";"n";"zer"
"i: coas.t";"vs.11, vs.71";"Biomasse klovdyr";"NTNU (James Speed)";"1999";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"vs.74";"Biomasse rovdyr";"NTNU (James Speed)";"1907";"10";"kommune";"B3";"fb";"u";"mod"
"i: coas.t";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"i: coas.t";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"i: coas.t";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"i: coas.t";"ur.01";"";"Copernicus*";"2006";"3";"~10 m";"A1";"af, lm";"n";"pol?"
"i: coas.t";"ur.02";"";"Copernicus*";"2018";"3";"~10 m";"B2";"fs, lm";"p";"pol?"
"i: coas.t";"ur.03";"";"Copernicus*";"2012";"3";"~10 m";"B2";"fs";"p";"pol?"
"i: coas.t";"ur.04";"";"Copernicus*";"2018";"1";"kommune";"A2";"af";"n";"pol?"
"l: coas.w";"vs.13";"Wetland bird communities";"NINA (Chloé?), BirdLife Norge, MDir";"2010";"1";"fylke/region";"B1a";"bm";"p";"sta"
"l: coas.w";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"l: coas.w";"sk.03, vs.30";"Ellenberg F";"MDir";"2019";"1";"fylke/region";"A1";"af";"u";"mod"
"l: coas.w";"fj.14, vs.04";"Ellenberg L";"MDir";"2019";"1";"fylke/region";"B3";"af";"u";"mod"
"l: coas.w";"fj.15";"Vegetasjonens varmekrav";"MDir";"2019";"1";"fylke/region";"A1";"af";"n";"mod"
"l: coas.w";"sk.02, fj.13, vs.03";"Ellenberg N";"MDir";"2019";"1";"fylke/region";"A2";"pr, af";"u";"mod"
"l: coas.w";"fj.11, vs.02";"Konnektivitet";"Statens kartverk*/NIBIO";"2021";"Inf";"kommune";"C1";"lm";"p";"mod"
"l: coas.w";"sk.13, fj.10, vs.02";"Areal uten tekniske inngrep";"MDir*/NIBIO";"1988";"5";"kommune";"C1";"lm";"p";"zer"
"l: coas.w";"nb.16";"Funksjonelle plantegrupper";"Mdir/NINA";"2019";"5";"fylke/region";"B3";"fg";"u";"mod"
"l: coas.w";"SECCI";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"l: coas.w";"P-TOT";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"P-PO4";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"N-TOT";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"N-NH3";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"l: coas.w";"N-SNOX";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"l: coas.w";"O2";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"l: coas.w";"RSL";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"Alegress";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"fs?";"p";"mdc"
"l: coas.w";"Blotbunnsfauna";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"l: coas.w";"KLFA";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"l: coas.w";"MSMDI";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"B2";"??";"p";"mdc"
"l: coas.w";"overall chemical status";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"l: coas.w";"overall ecol status";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"xx";"";"p";"?"
"m: marine";"fj.12, sk.12, vs.06";"Naturindeks (modifisert)";"MDir & NINA";"1990";"5";"fylke/region";"xx";"bm";"p";"na"
"m: marine";"SECCI";"Siktedyp";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A1";"af";"p";"mdc"
"m: marine";"P-TOT";"Totalt fosfor (Tot-P)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"P-PO4";"Fosfat (PO4) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"N-TOT";"Totalt nitrogen (Tot-N)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"N-NH3";"Ammoniakk og ammonium";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"exp?, mdc?"
"m: marine";"N-SNOX";"Nitrat(NO3)+nitritt (NO2) - kystvann";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"n";"mdc"
"m: marine";"O2";"Oksygen (O2)";"Various institutes/consultancies + Vannmiljø";;"1";"annet";"A2";"af";"p";"exp"
"m: marine";"RSL";"RSLA/RSL: Fjæresoneindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"Alegress";"Ålegress - eutrofiering/organisk beslastning i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"fs?";"p";"mdc"
"m: marine";"Blotbunnsfauna";"Bløtbunnsfauna - eutrofiering/organisk beslastning/sedimentering i kystvann";"NIVA + Vannmiljø";;"1";"annet";"A2";"bm";"p";"mdc"
"m: marine";"KLFA";"Klorofyll planteplankton";"NIVA (Birger Skjelbred) + Vannmiljø";;"1";"annet";"B2";"pr";"n";"mdc"
"m: marine";"MSMDI";"MSMDI: Nedre voksegrenseindeks for fastsittende alger (makroalger) i kystvann";"NIVA + Vannmiljø";;"1";"annet";"B2";"??";"p";"mdc"
"m: marine";"overall chemical status";"Kjemisk tilstand (god eller dårlig)";"Vann-nett";;"1";"annet";"A2";"";"n?";"zer"
"m: marine";"overall ecol status";"Økologisk tilstand (nEQR)";"Vann-nett";;"1";"annet";"xx";"";"p";"?"
